League,Team,Avg Away Attendance,Total Away Attendance,Highest Away Attendance,Lowest Away Attendance,Season,KEY
Premier League,Newcastle United,"43,549","566,136","73,206","19,798",2019/20,Premier League|Newcastle United|2019/20
Premier League,Crystal Palace,"43,165","561,141","73,454","19,818",2019/20,Premier League|Crystal Palace|2019/20
Premier League,Tottenham Hotspur,"42,765","555,942","73,252","21,366",2019/20,Premier League|Tottenham Hotspur|2019/20
Premier League,Brighton & Hove Albion,"46,049","552,592","73,556","10,065",2019/20,Premier League|Brighton & Hove Albion|2019/20
Premier League,Chelsea,"41,202","535,620","73,620","20,975",2019/20,Premier League|Chelsea|2019/20
Premier League,Norwich City,"40,230","522,987","73,271","10,669",2019/20,Premier League|Norwich City|2019/20
Premier League,Southampton,"39,961","519,498","60,295","19,784",2019/20,Premier League|Southampton|2019/20
Premier League,Sheffield United,"39,495","513,439","60,310","10,714",2019/20,Premier League|Sheffield United|2019/20
Premier League,Manchester City,"39,335","511,353","61,022","10,486",2019/20,Premier League|Manchester City|2019/20
Premier League,Everton,"38,827","504,750","73,328","10,416",2019/20,Premier League|Everton|2019/20
Premier League,Wolverhampton Wanderers,"38,735","503,554","73,363","10,539",2019/20,Premier League|Wolverhampton Wanderers|2019/20
Premier League,AFC Bournemouth,"38,401","499,214","60,326","20,821",2019/20,Premier League|AFC Bournemouth|2019/20
Premier League,Burnley,"37,855","492,121","73,198","10,020",2019/20,Premier League|Burnley|2019/20
Premier League,Liverpool,"37,682","489,868","73,737","10,832",2019/20,Premier League|Liverpool|2019/20
Premier League,Leicester City,"40,640","487,676","73,689","19,788",2019/20,Premier League|Leicester City|2019/20
Premier League,Aston Villa,"37,364","485,731","73,381","10,722",2019/20,Premier League|Aston Villa|2019/20
Premier League,Arsenal,"37,088","482,144","73,201","10,234",2019/20,Premier League|Arsenal|2019/20
Premier League,Manchester United,"37,817","453,807","60,328","10,669",2019/20,Premier League|Manchester United|2019/20
Premier League,Watford,"35,387","424,643","58,754","10,384",2019/20,Premier League|Watford|2019/20
Premier League,West Ham United,"29,283","322,117","42,010","10,729",2019/20,Premier League|West Ham United|2019/20
Bundesliga,Werder Bremen,"44,516","534,194","81,365","22,012",2019/20,Bundesliga|Werder Bremen|2019/20
Bundesliga,Borussia Dortmund,"43,034","473,377","75,000","22,012",2019/20,Bundesliga|Borussia Dortmund|2019/20
Bundesliga,"Borussia M'gladbach","42,893","471,827","81,365","22,012",2019/20,"Bundesliga|Borussia M'gladbach|2019/20"
Bundesliga,1. FC Union Berlin,"42,622","468,846","81,365","14,414",2019/20,Bundesliga|1. FC Union Berlin|2019/20
Bundesliga,Bayern Munich,"46,657","466,571","74,667","15,000",2019/20,Bundesliga|Bayern Munich|2019/20
Bundesliga,RB Leipzig,"41,913","461,044","80,200","13,253",2019/20,Bundesliga|RB Leipzig|2019/20
Bundesliga,VfL Wolfsburg,"41,656","458,213","80,200","13,926",2019/20,Bundesliga|VfL Wolfsburg|2019/20
Bundesliga,Fortuna Dusseldorf,"40,155","441,704","81,365","14,182",2019/20,Bundesliga|Fortuna Dusseldorf|2019/20
Bundesliga,Bayer Leverkusen,"39,833","438,163","81,365","14,889",2019/20,Bundesliga|Bayer Leverkusen|2019/20
Bundesliga,Eintracht Frankfurt,"39,266","431,921","81,365","15,000",2019/20,Bundesliga|Eintracht Frankfurt|2019/20
Bundesliga,SC Freiburg,"35,438","425,255","61,867","14,322",2019/20,Bundesliga|SC Freiburg|2019/20
Bundesliga,FC Augsburg,"37,803","415,829","81,365","13,758",2019/20,Bundesliga|FC Augsburg|2019/20
Bundesliga,1. FC Koln,"46,061","414,549","81,365","22,012",2019/20,Bundesliga|1. FC Koln|2019/20
Bundesliga,FC Schalke 04,"39,366","393,661","75,000","15,000",2019/20,Bundesliga|FC Schalke 04|2019/20
Bundesliga,TSG 1899 Hoffenheim,"38,939","389,385","75,000","20,350",2019/20,Bundesliga|TSG 1899 Hoffenheim|2019/20
Bundesliga,Hertha BSC,"38,865","388,646","75,000","14,687",2019/20,Bundesliga|Hertha BSC|2019/20
Bundesliga,1. FSV Mainz 05,"38,538","385,384","75,000","14,217",2019/20,Bundesliga|1. FSV Mainz 05|2019/20
Bundesliga,SC Paderborn 07,"41,503","373,529","81,365","23,500",2019/20,Bundesliga|SC Paderborn 07|2019/20
La Liga,Real Sociedad,"38,485","461,825","109,113","16,197",2019/20,La Liga|Real Sociedad|2019/20
La Liga,Getafe,"33,970","407,639","89,409","5,979",2019/20,La Liga|Getafe|2019/20
La Liga,Levante,"30,403","395,245","60,401","6,535",2019/20,La Liga|Levante|2019/20
La Liga,Granada CF,"32,427","389,121","70,315","5,341",2019/20,La Liga|Granada CF|2019/20
La Liga,Barcelona,"31,336","376,031","64,226","7,295",2019/20,La Liga|Barcelona|2019/20
La Liga,Sevilla,"30,766","369,187","81,331","5,434",2019/20,La Liga|Sevilla|2019/20
La Liga,Athletic Bilbao,"30,667","368,007","71,306","10,103",2019/20,La Liga|Athletic Bilbao|2019/20
La Liga,Atletico Madrid,"29,896","358,748","76,955","6,429",2019/20,La Liga|Atletico Madrid|2019/20
La Liga,Celta Vigo,"32,466","357,131","71,209","5,453",2019/20,La Liga|Celta Vigo|2019/20
La Liga,Real Valladolid,"27,388","356,038","63,037","10,816",2019/20,La Liga|Real Valladolid|2019/20
La Liga,Valencia,"31,461","346,071","81,617","9,856",2019/20,La Liga|Valencia|2019/20
