League,Team,Avg Away Attendance,Total Away Attendance,Highest Away Attendance,Lowest Away Attendance,Season,KEY
Premier League,Liverpool,"39,339","747,437","80,188","10,752",2018/19,Premier League|Liverpool|2018/19
Premier League,Huddersfield Town,"39,219","745,158","74,523","9,980",2018/19,Premier League|Huddersfield Town|2018/19
Premier League,Crystal Palace,"38,932","739,699","74,516","10,199",2018/19,Premier League|Crystal Palace|2018/19
Premier League,Arsenal,"38,925","739,578","81,332","10,792",2018/19,Premier League|Arsenal|2018/19
Premier League,AFC Bournemouth,"38,904","739,179","74,556","18,636",2018/19,Premier League|AFC Bournemouth|2018/19
Premier League,Everton,"38,721","735,690","74,525","10,654",2018/19,Premier League|Everton|2018/19
Premier League,Fulham,"38,395","729,510","74,523","10,511",2018/19,Premier League|Fulham|2018/19
Premier League,Chelsea,"38,232","726,416","74,526","10,227",2018/19,Premier League|Chelsea|2018/19
Premier League,Wolverhampton Wanderers,"38,160","725,032","74,489","10,671",2018/19,Premier League|Wolverhampton Wanderers|2018/19
Premier League,Brighton & Hove Albion,"38,148","724,811","74,532","10,491",2018/19,Premier League|Brighton & Hove Albion|2018/19
Premier League,Burnley,"38,080","723,516","74,529","10,446",2018/19,Premier League|Burnley|2018/19
Premier League,Leicester City,"38,046","722,872","74,439","10,543",2018/19,Premier League|Leicester City|2018/19
Premier League,Manchester United,"37,983","721,686","80,062","10,792",2018/19,Premier League|Manchester United|2018/19
Premier League,Cardiff City,"37,790","718,009","74,457","10,353",2018/19,Premier League|Cardiff City|2018/19
Premier League,Manchester City,"37,703","716,357","74,431","10,699",2018/19,Premier League|Manchester City|2018/19
Premier League,West Ham United,"37,657","715,488","74,478","10,495",2018/19,Premier League|West Ham United|2018/19
Premier League,Tottenham Hotspur,"37,645","715,249","74,400","10,630",2018/19,Premier League|Tottenham Hotspur|2018/19
Premier League,Southampton,"37,338","709,416","74,459","10,986",2018/19,Premier League|Southampton|2018/19
Premier League,Watford,"37,321","709,105","74,543","10,261",2018/19,Premier League|Watford|2018/19
Premier League,Newcastle United,"37,039","703,743","74,519","10,625",2018/19,Premier League|Newcastle United|2018/19
Bundesliga,Bayern Munich,"46,898","797,271","81,365","24,000",2018/19,Bundesliga|Bayern Munich|2018/19
Bundesliga,Borussia Dortmund,"46,431","789,322","75,000","24,000",2018/19,Bundesliga|Borussia Dortmund|2018/19
Bundesliga,"Borussia M'gladbach","45,485","773,240","81,365","24,000",2018/19,"Bundesliga|Borussia M'gladbach|2018/19"
Bundesliga,Werder Bremen,"45,286","769,862","81,365","24,000",2018/19,Bundesliga|Werder Bremen|2018/19
Bundesliga,FC Schalke 04,"44,210","751,575","80,196","24,000",2018/19,Bundesliga|FC Schalke 04|2018/19
Bundesliga,SC Freiburg,"43,761","743,940","81,365","23,011",2018/19,Bundesliga|SC Freiburg|2018/19
Bundesliga,Bayer Leverkusen,"43,287","735,873","81,029","21,736",2018/19,Bundesliga|Bayer Leverkusen|2018/19
Bundesliga,Eintracht Frankfurt,"43,198","734,358","81,000","24,000",2018/19,Bundesliga|Eintracht Frankfurt|2018/19
Bundesliga,Fortuna Dusseldorf,"43,123","733,088","81,365","24,000",2018/19,Bundesliga|Fortuna Dusseldorf|2018/19
Bundesliga,VfB Stuttgart,"42,996","730,924","81,365","21,780",2018/19,Bundesliga|VfB Stuttgart|2018/19
Bundesliga,TSG 1899 Hoffenheim,"42,911","729,484","81,365","20,602",2018/19,Bundesliga|TSG 1899 Hoffenheim|2018/19
Bundesliga,1. FC Nurnberg,"42,846","728,377","75,700","22,500",2018/19,Bundesliga|1. FC Nurnberg|2018/19
Bundesliga,VfL Wolfsburg,"42,132","716,248","81,365","19,205",2018/19,Bundesliga|VfL Wolfsburg|2018/19
Bundesliga,FC Augsburg,"41,890","712,133","81,365","21,105",2018/19,Bundesliga|FC Augsburg|2018/19
Bundesliga,Hertha BSC,"41,867","711,746","81,000","22,405",2018/19,Bundesliga|Hertha BSC|2018/19
Bundesliga,1. FSV Mainz 05,"41,679","708,535","81,365","20,334",2018/19,Bundesliga|1. FSV Mainz 05|2018/19
Bundesliga,RB Leipzig,"41,577","706,815","80,365","22,832",2018/19,Bundesliga|RB Leipzig|2018/19
Bundesliga,Hannover 96,"41,416","704,078","75,000","23,305",2018/19,Bundesliga|Hannover 96|2018/19
La Liga,Real Madrid,"29,821","566,591","93,265","6,435",2018/19,La Liga|Real Madrid|2018/19
La Liga,Barcelona,"29,433","559,230","78,921","5,145",2018/19,La Liga|Barcelona|2018/19
La Liga,Atletico Madrid,"29,046","551,879","92,453","4,750",2018/19,La Liga|Atletico Madrid|2018/19
